
Term A,Term B,conjunction,A~B,B~A,disjunction,conj/disj
"Inferior parietal lobule",(Septal AND (nuclei OR nucleus)),0,796,4660,5456,0.0
"Interstitial nucleus",(Superior AND collicul*),85,429,9999,10428,0.00815113156885
Insula*,(Superior AND collicul*),68,17105,10016,27121,0.00250728217986
("Medial dorsal" AND nucl*),"Primary motor",1,112,3204,3316,0.000301568154403
periaqueductal,"Piriform cortex",31,4545,1712,6257,0.00495445101486
"Inferior frontal","Primary sensory",9,2803,3001,5804,0.00155065472088
("Nucleus gracilis" OR "gracile nucleus"),("Posterior nucleus" AND hypothalamus),0,374,67,441,0.0
Perirhinal,(Periventricular AND (nuclei OR nucleus)),5,1195,2490,3685,0.00135685210312
(Medulla OR "medulla oblongata"),(Periventricular AND (nuclei OR nucleus)),221,50601,2274,52875,0.00417966903073
(Medulla OR "medulla oblongata"),"Primary sensory",99,50723,2911,53634,0.00184584405414
Infralimbic,"Ventral tegmentum",0,496,285,781,0.0
"Middle frontal",Perirhinal,3,1025,1197,2222,0.0013501350135
("Red nucleus"),Thalamus,487,1889,42395,44284,0.0109971998916
"Stria terminalis",Subgranular,1,2729,631,3360,0.000297619047619
"Posterior parietal","Substantia nigra",12,2142,19375,21517,0.000557698563926
"Middle temporal",Temporoparietal,26,1611,1434,3045,0.00853858784893
"Supplementary motor","Thalamic reticular",0,2361,600,2961,0.0
"Primary motor",Thalamus,248,2957,42634,45591,0.00543967011033
("Ventral anterior" AND (nuclei OR nucleus)),"Ventral tegmentum",0,237,285,522,0.0
"Ventral tegmentum","Zona incerta",3,282,971,1253,0.0023942537909
Subthalam*,"Substantia nigra",933,3196,18454,21650,0.0430946882217
Putamen,"Visual cortex",98,10651,22782,33433,0.00293123560554
("Red nucleus"),"Substantia nigra",433,1943,18954,20897,0.0207206776092
Putamen,("Red nucleus"),128,10621,2248,12869,0.00994638278032
Subthalam*,"Supplementary motor",45,4084,2316,6400,0.00703125
Cingulate,("Locus coeruleus" OR "locus ceruleus"),171,10933,7468,18401,0.00929297320798
Cerebellum,"Substantia nigra",1356,64044,18031,82075,0.0165214742613
Cingulate,Perirhinal,126,10978,1074,12052,0.010454696316
("Centromedian" AND (nuclei OR nucleus)),Temporoparietal,0,216,1460,1676,0.0
"Diagonal band of Broca",Prefrontal,31,864,24070,24934,0.00124328226518
(Dorsomedial AND hypothal*),"Inferior parietal lobule",0,2139,796,2935,0.0
"Diagonal band of Broca",(Inferior AND collicul*),12,883,4271,5154,0.0023282887078
Ambiguus,"Superior frontal",0,1216,1091,2307,0.0
"Broca's area","Postcentral gyrus",4,690,527,1217,0.00328677074774
("Gustatory cortex" OR "gustatory area"),"Indusium griseum",0,153,77,230,0.0
Ambiguus,Subiculum,37,1179,98204,99383,0.00037229707294
Claustrum,Premotor,540,82201,4189,86390,0.00625072346336
"Indusium griseum","Primary motor",0,77,3205,3282,0.0
"Indusium griseum","Superior frontal",0,77,1091,1168,0.0
Hypothalam*,"Postcentral gyrus",7,107542,524,108066,6.47752299521e-05
("Inferior olive" OR "Inferior olivary"),"Nucleus basalis",5,2375,1842,4217,0.00118567702158
"Inferior frontal",Suprachiasmatic,0,2812,6026,8838,0.0
("Inferior olive" OR "Inferior olivary"),"Primary auditory",2,2378,1867,4245,0.000471142520612
"Interstitial nucleus",("Superior olive" OR "superior olivary"),7,507,1250,1757,0.00398406374502
Insula*,"Supplementary motor",255,16918,2106,19024,0.0134041211102
Hippocamp*,"Substantia nigra",2059,102035,17328,119363,0.0172499015608
("Locus coeruleus" OR "locus ceruleus"),("Ventral anterior" AND (nuclei OR nucleus)),6,7633,231,7864,0.000762970498474
"Lingual gyrus","Primary auditory",2,252,1867,2119,0.000943841434639
("Mammillary body" OR "Mammillary bodies),(Superior AND collicul*),48,1321,10036,11357,0.00422646825746
("Medial dorsal" AND nucl*),Pineal,0,113,14403,14516,0.0
"Lingual gyrus",Putamen,14,240,10735,10975,0.00127562642369
Orbitofrontal,Prefrontal,1279,1717,22822,24539,0.0521211133298
(Periventricular AND (nuclei OR nucleus)),Subgranular,0,2495,632,3127,0.0
Pineal,(Superior AND collicul*),55,14348,10029,24377,0.00225622513025
"Posterior parahippocampal gyrus",Suprachiasmatic,0,41,6026,6067,0.0
("Superior olive" OR "superior olivary"),("Ventral posterior" AND (nuclei OR nucleus)),2,1255,354,1609,0.00124300807955
Striatum,Suprachiasmatic,116,58824,5910,64734,0.00179194858961
("Straight gyrus" OR "gyrus rectus"),("Ventral posteromedial" AND (nuclei OR nucleus)),0,130,112,242,0.0
Suprachiasmatic,Thalamus,501,5525,42381,47906,0.0104579802112
"Posterior parietal",Subthalam*,8,2146,4121,6267,0.00127652784426
(Raphe AND (nuclei OR nucleus)),(Septal AND (nuclei OR nucleus)),317,8004,4343,12347,0.0256742528549
Ambiguus,Prefrontal,4,1212,24097,25309,0.000158046544707
"Broca's area","Wernicke's area",114,580,137,717,0.1589958159
"Anterior cingulate","Broca's area",37,5765,657,6422,0.0057614450327
Cerebellum,"Indusium griseum",6,65394,71,65465,9.16520278011e-05
"Diagonal band of Broca",("Posterior nucleus" AND hypothalamus),0,895,67,962,0.0
Cerebellum,"Lateral geniculate",129,65271,5051,70322,0.0018344188163
(Intralaminar AND (nuclei OR nucleus)),"Supplementary motor",5,1095,2356,3451,0.00144885540423
(Dorsomedial AND hypothal*),Subiculum,212,1927,98029,99956,0.00212093321061
(Dorsomedial AND hypothal*),"Substantia nigra",108,2031,19279,21310,0.00506804317222
Fusiform,"Posterior parahippocampal gyrus",1,5454,40,5494,0.000182016745541
"Calcarine fissure",Suprachiasmatic,0,103,6026,6129,0.0
("Centromedian" AND (nuclei OR nucleus)),(Cochlear AND (nuclei OR nucleus)),0,216,5307,5523,0.0
Hippocamp*,(Inferior AND collicul*),376,103718,3907,107625,0.00349361207898
Claustrum,"Dorsolateral prefrontal",342,82399,2662,85061,0.00402064400842
("Centromedian" AND (nuclei OR nucleus)),"Olfactory bulb",1,215,11210,11425,8.75273522976e-05
Cingulum,("Mammillary body" OR "Mammillary bodies),9,676,1360,2036,0.00442043222004
"Dentate gyrus","Olfactory bulb",440,11003,10771,21774,0.0202075870304
Entorhinal,Thalamus,377,5170,42505,47675,0.00790770844258
Hypothalam*,"Lingual gyrus",6,107543,248,107791,5.56632742993e-05
"Inferior frontal",Subthalam*,16,2796,4113,6909,0.002315819945
"Indusium griseum","Primary sensory",1,76,3009,3085,0.00032414910859
"Interstitial nucleus","Ventromedial prefrontal",0,514,3,517,0.0
"Lingual gyrus",(Periventricular AND (nuclei OR nucleus)),0,254,2495,2749,0.0
("Mammillary body" OR "Mammillary bodies),"Medial geniculate",22,22,1236,1258,0.0174880763116
("Medial dorsal" AND nucl*),Suprachiasmatic,1,112,6025,6137,0.000162946064853
("Mammillary body" OR "Mammillary bodies),("Superior olive" OR "superior olivary"),0,0,1255,1255,0.0
"Medial geniculate",Pons,92,1157,25492,26649,0.00345228714023
Parahippocamp*,(Septal AND (nuclei OR nucleus)),13,2646,0,2646,0.00491307634165
"Medial frontal",Prefrontal,404,1191,23697,24888,0.0162327225972
"Postcentral gyrus",Temporoparietal,5,526,1455,1981,0.002523977789
Orbitofrontal,("Ventral posterior" AND (nuclei OR nucleus)),0,2996,356,3352,0.0
("Posterior nucleus" AND hypothalamus),"Stria terminalis",4,63,2726,2789,0.00143420580853
(Periventricular AND (nuclei OR nucleus)),(Septal AND (nuclei OR nucleus)),211,2284,4449,6733,0.0313381850587
Pineal,"Primary auditory",0,14403,1869,16272,0.0
"Posterior parietal","Thalamic reticular",3,2151,597,2748,0.00109170305677
Striatum,("Ventral posterior" AND (nuclei OR nucleus)),21,58919,335,59254,0.000354406453573
"Thalamic reticular","Visual extrastriate",4,596,1530,2126,0.00188146754468
("Ventral anterior" AND (nuclei OR nucleus)),"Visual cortex",2,235,22878,23113,8.65313892615e-05
Pulvinar,("Ventral posteromedial" AND (nuclei OR nucleus)),4,1129,108,1237,0.00323362974939
Putamen,"Supplementary motor",174,10575,2187,12762,0.0136342266102
Infralimbic,Orbitofrontal,28,468,2968,3436,0.0081490104773
Ambiguus,Cerebellum,42,1174,65358,66532,0.000631275175855
"Basal forbrain",("Inferior olive" OR "Inferior olivary"),0,1,2380,2381,0.0
(Intralaminar AND (nuclei OR nucleus)),"Posterior cingulate",11,1089,1891,2980,0.00369127516779
(Dorsomedial AND hypothal*),"Nucleus basalis",8,2131,1839,3970,0.00201511335013
("Centromedian" AND (nuclei OR nucleus)),Prefrontal,6,210,24095,24305,0.000246862785435
(Dorsomedial AND hypothal*),Perirhinal,18,2121,1182,3303,0.00544959128065
"Lateral geniculate",Thalamus,4141,1039,38741,39780,0.10409753645
"Diagonal band of Broca",Temporoparietal,1,894,1459,2353,0.000424989375266
"Diagonal band of Broca",("Ventral posterolateral" AND (nuclei OR nucleus)),0,895,148,1043,0.0
Ambiguus,"Visual cortex",0,1216,22880,24096,0.0
"Lateral geniculate",(Superior AND collicul*),900,4280,9184,13464,0.0668449197861
"Basal forbrain","Ventral tegmentum",0,1,285,286,0.0
("Gustatory cortex" OR "gustatory area"),Operculum,18,135,908,1043,0.0172579098754
"Calcarine fissure","Piriform cortex",0,103,1743,1846,0.0
"Broca's area",Subthalam*,1,693,4128,4821,0.00020742584526
Caudate,"Indusium griseum",4,18797,73,18870,0.000211976682565
Hippocamp*,"Middle frontal",116,103978,912,104890,0.00110592048813
"Interstitial nucleus","Posterior cingulate",0,514,1902,2416,0.0
"Medial frontal",("Nucleus gracilis" OR "gracile nucleus"),0,1595,374,1969,0.0
("Medial dorsal" AND nucl*),"Visual cortex",4,109,22876,22985,0.000174026539047
("Nucleus gracilis" OR "gracile nucleus"),(Raphe AND (nuclei OR nucleus)),19,355,8302,8657,0.00219475568904
"Inferior frontal","Nucleus accumbens",11,2801,12534,15335,0.000717313335507
"Medial geniculate",("Ventral posteromedial" AND (nuclei OR nucleus)),5,1244,107,1351,0.00370096225019
Insula*,"Olfactory bulb",73,17100,11138,28238,0.00258516892131
(Medulla OR "medulla oblongata"),("Ventral anterior" AND (nuclei OR nucleus)),5,50817,232,51049,9.79451115595e-05
Operculum,"Pontine nuclei",2,924,796,1720,0.00116279069767
Operculum,("Straight gyrus" OR "gyrus rectus"),3,923,127,1050,0.00285714285714
"Nucleus basalis",periaqueductal,6,1841,4570,6411,0.000935891436593
"Middle temporal","Zona incerta",5,1632,969,2601,0.00192233756248
"Paracentral lobule","Posterior cingulate",9,56,1893,1949,0.00461775269369
"Paracentral lobule",("Ventral posterior" AND (nuclei OR nucleus)),0,65,356,421,0.0
"Primary auditory",("Straight gyrus" OR "gyrus rectus"),1,1868,129,1997,0.00050075112669
Precuneus,"Primary auditory",3,1217,1866,3083,0.000973078170613
"Superior frontal",("Ventral anterior" AND (nuclei OR nucleus)),0,1091,237,1328,0.0
"Superior temporal",("Ventral posterior" AND (nuclei OR nucleus)),0,4107,356,4463,0.0
Precuneus,"Thalamic reticular",0,1220,600,1820,0.0
("Red nucleus"),(Septal AND (nuclei OR nucleus)),32,2344,4628,6972,0.00458978772232
(Raphe AND (nuclei OR nucleus)),"Visual extrastriate",0,8321,1534,9855,0.0
"Amygdala",Pulvinar,76,23281,1057,24338,0.00312268879941
"Amygdala",Pons,753,22604,24831,47435,0.0158743543797
Ambiguus,"Posterior parahippocampal gyrus",0,1216,41,1257,0.0
"Anterior cingulate",Cerebellum,486,5316,64914,70230,0.00692011960701
("Centromedian" AND (nuclei OR nucleus)),(Raphe AND (nuclei OR nucleus)),14,202,8307,8509,0.00164531672347
"Calcarine fissure",Hippocamp*,2,101,104092,104193,1.91951474667e-05
"Lateral geniculate",Orbitofrontal,1,5179,2995,8174,0.000122339124052
"Diagonal band of Broca","Medial geniculate",2,893,1247,2140,0.000934579439252
Entorhinal,"Nucleus accumbens",202,5345,12343,17688,0.0114201718679
"Dorsolateral prefrontal","Substantia nigra",25,2979,19362,22341,0.00111901884428
"Calcarine fissure",Parahippocamp*,2,101,2657,2758,0.000725163161711
"Basal forbrain","Primary sensory",0,1,3010,3011,0.0
Caudate,"Nucleus accumbens",2322,16479,10223,26702,0.0869597782938
Claustrum,(Cochlear AND (nuclei OR nucleus)),77,82664,5230,87894,0.000876055248367
("Gustatory cortex" OR "gustatory area"),"Thalamic reticular",0,153,600,753,0.0
Claustrum,Putamen,6738,76003,4011,80014,0.0842102632039
Claustrum,"Stria terminalis",892,81849,1838,83687,0.0106587642047
Hypothalam*,(Raphe AND (nuclei OR nucleus)),1792,105757,6529,112286,0.015959246923
"Indusium griseum",Pineal,1,76,14402,14478,6.90703135792e-05
Entorhinal,"Superior frontal",14,5533,1077,6610,0.00211800302572
Hypothalam*,Infralimbic,122,107427,374,107801,0.00113171491916
"Dentate gyrus","Visual extrastriate",1,11442,1533,12975,7.70712909441e-05
(Inferior AND collicul*),"Inferior parietal lobule",14,4269,782,5051,0.00277172837062
Fusiform,("Straight gyrus" OR "gyrus rectus"),2,5453,128,5581,0.000358358717076
"Globus pallidus",Orbitofrontal,31,8075,2965,11040,0.00280797101449
"Inferior parietal lobule","Primary auditory",6,790,1863,2653,0.00226159065209
"Inferior temporal","Lingual gyrus",23,1688,231,1919,0.0119854090672
Hippocamp*,"Nucleus accumbens",1897,102197,10648,112845,0.0168106695024
"Interstitial nucleus","Medial frontal",0,514,1595,2109,0.0
"Medial geniculate","Thalamic reticular",31,1218,569,1787,0.0173475097929
"Inferior frontal",("Inferior olive" OR "Inferior olivary"),1,2811,2379,5190,0.00019267822736
("Locus coeruleus" OR "locus ceruleus"),Orbitofrontal,15,7624,2981,10605,0.001414427157
periaqueductal,Subiculum,357,4219,97884,102103,0.00349646925164
Insula*,Parahippocamp*,288,16885,2371,19256,0.0149563772331
"Olfactory bulb","Visual extrastriate",0,11211,1534,12745,0.0
Operculum,Pulvinar,8,918,1125,2043,0.00391581008321
("Locus coeruleus" OR "locus ceruleus"),Striatum,509,7130,58431,65561,0.00776376199265
"Olfactory bulb",Subiculum,2009,9202,96232,105434,0.0190545744257
"Medial frontal",Putamen,54,1541,10695,12236,0.00441320693037
"Nucleus accumbens","Primary sensory",6,12539,3004,15543,0.000386025863733
"Olfactory bulb",("Posterior nucleus" AND hypothalamus),2,11209,65,11274,0.000177399325883
"Paracentral lobule",Temporoparietal,0,65,1460,1525,0.0
Perirhinal,Subiculum,687,513,97554,98067,0.00700541466548
"Posterior parahippocampal gyrus","Primary sensory",0,41,3010,3051,0.0
"Posterior cingulate",Putamen,76,1826,10673,12499,0.00608048643892
Premotor,Prefrontal,973,3756,23128,26884,0.0361925308734
"Piriform cortex","Posterior cingulate",7,1736,1895,3631,0.00192784356926
"Piriform cortex","Primary auditory",0,1743,1869,3612,0.0
"Stria terminalis","Ventral tegmentum",8,2722,277,2999,0.00266755585195
(Septal AND (nuclei OR nucleus)),Thalamus,492,4168,42390,46558,0.0105674642382
Subiculum,Temporoparietal,72,98169,1388,99557,0.000723203792802
"Amygdala","Lateral geniculate",93,23264,5087,28351,0.00328030757293
Ambiguus,Entorhinal,6,1210,5541,6751,0.000888757221152
"Amygdala","Pontine nuclei",45,23312,753,24065,0.00186993559111
"Amygdala",("Red nucleus"),75,23282,2301,25583,0.00293163428839
Ambiguus,"Medial frontal",0,1216,1595,2811,0.0
Cerebellum,"Posterior cingulate",193,65207,1709,66916,0.00288421304322
Cerebellum,Pineal,361,65039,14042,79081,0.00456493974532
"Basal forbrain",(Intralaminar AND (nuclei OR nucleus)),0,1,1100,1101,0.0
"Dorsolateral prefrontal",Pons,21,2983,25563,28546,0.000735654732712
Entorhinal,("Nucleus cuneatus" OR "cuneate nucleus"),3,5544,689,6233,0.000481309160918
"Basal forbrain",Subgranular,0,1,632,633,0.0
Ambiguus,(Superior AND collicul*),31,1185,10053,11238,0.00275849795337
Ambiguus,"Wernicke's area",0,1216,251,1467,0.0
Caudate,("Nucleus gracilis" OR "gracile nucleus"),7,18794,367,19161,0.000365325400553
Cingulum,("Inferior olive" OR "Inferior olivary"),2,683,2378,3061,0.000653381247958
("Gustatory cortex" OR "gustatory area"),"Visual extrastriate",0,153,1534,1687,0.0
"Inferior frontal",Subgranular,0,2812,632,3444,0.0
(Inferior AND collicul*),"Inferior frontal",8,4275,2804,7079,0.00113010312191
("Heschl's gyrus" OR "Transverse temporal"),("Ventral posterolateral" AND (nuclei OR nucleus)),0,1148,148,1296,0.0
("Inferior olive" OR "Inferior olivary"),"Zona incerta",32,2348,942,3290,0.009726443769
"Inferior frontal","Wernicke's area",36,2776,215,2991,0.012036108325
Insula*,Subthalam*,42,17131,4087,21218,0.00197945140918
Hippocamp*,("Superior olive" OR "superior olivary"),58,104036,1199,105235,0.000551147431938
"Interstitial nucleus",Thalamus,73,441,42809,43250,0.00168786127168
Infralimbic,Parahippocamp*,9,487,2650,3137,0.00286898310488
Infralimbic,Putamen,21,475,10728,11203,0.00187449790235
"Nucleus basalis",Subthalam*,12,1835,4117,5952,0.00201612903226
("Nucleus cuneatus" OR "cuneate nucleus"),Premotor,1,691,4728,5419,0.000184535892231
periaqueductal,"Stria terminalis",222,4354,2508,6862,0.0323520839405
"Nucleus accumbens",("Ventral posterior" AND (nuclei OR nucleus)),7,12538,349,12887,0.000543183052689
"Postcentral gyrus","Supplementary motor",32,499,2329,2828,0.011315417256
"Paracentral lobule","Posterior parietal",3,62,2151,2213,0.00135562584727
"Medial frontal",("Ventral posterolateral" AND (nuclei OR nucleus)),0,1595,148,1743,0.0
"Posterior cingulate",Suprachiasmatic,0,1902,6026,7928,0.0
Perirhinal,Striatum,52,1148,58888,60036,0.00086614697848
"Posterior cingulate",("Superior olive" OR "superior olivary"),0,1902,1257,3159,0.0
Pineal,Striatum,166,14237,58774,73011,0.00227363000096
("Red nucleus"),("Ventral posteromedial" AND (nuclei OR nucleus)),1,2375,111,2486,0.000402252614642
"Piriform cortex","Stria terminalis",78,1665,2652,4317,0.0180681028492
(Septal AND (nuclei OR nucleus)),("Ventral anterior" AND (nuclei OR nucleus)),6,4654,231,4885,0.00122824974411
"Posterior parietal",Premotor,275,1879,4454,6333,0.0434233380704
"Superior frontal",Suprachiasmatic,0,1091,6026,7117,0.0
"Piriform cortex",("Ventral posterolateral" AND (nuclei OR nucleus)),0,1743,148,1891,0.0
"Medial geniculate","Middle temporal",2,1247,1635,2882,0.000693962526024
"Amygdala",Operculum,34,23323,892,24215,0.00140408837497
"Amygdala",Pineal,85,23272,14318,37590,0.00226123969141
"Angular gyrus",("Ventral posterolateral" AND (nuclei OR nucleus)),0,502,148,650,0.0
"Anterior cingulate",Parahippocamp*,242,5560,2417,7977,0.0303372195061
"Angular gyrus",Putamen,10,492,10739,11231,0.000890392663164
"Lateral geniculate","Nucleus accumbens",22,5158,12523,17681,0.00124427351394
"Anterior cingulate",Thalamus,944,4858,41938,46796,0.0201726643303
Cerebellum,"Inferior temporal",104,65296,1607,66903,0.00155448933531
"Dorsolateral prefrontal","Inferior temporal",41,2963,1670,4633,0.00884955752212
Entorhinal,"Paracentral lobule",0,5547,65,5612,0.0
Ambiguus,("Ventral posterior" AND (nuclei OR nucleus)),0,1216,356,1572,0.0
"Globus pallidus","Thalamic reticular",31,8075,569,8644,0.00358630263767
Entorhinal,"Interstitial nucleus",4,5543,510,6053,0.000660829340823
"Calcarine fissure","Posterior cingulate",1,102,1901,2003,0.000499251123315
Claustrum,("Inferior olive" OR "Inferior olivary"),114,82627,2266,84893,0.00134286690304
(Cochlear AND (nuclei OR nucleus)),(Medulla OR "medulla oblongata"),1020,4287,49802,54089,0.0188578084269
Claustrum,"Lingual gyrus",27,82714,227,82941,0.000325532607516
Hypothalam*,"Inferior temporal",24,107525,1687,109212,0.000219756070761
"Indusium griseum",("Ventral anterior" AND (nuclei OR nucleus)),0,77,237,314,0.0
Entorhinal,Suprachiasmatic,20,5527,6006,11533,0.00173415416631
("Inferior olive" OR "Inferior olivary"),Pineal,13,2367,14390,16757,0.00077579519007
"Globus pallidus",("Heschl's gyrus" OR "Transverse temporal"),2,8104,1146,9250,0.000216216216216
("Inferior olive" OR "Inferior olivary"),"Substantia nigra",176,2204,19211,21415,0.00821853840766
Hippocamp*,periaqueductal,371,103723,4205,107928,0.00343747683641
Hippocamp*,"Posterior parietal",141,103953,2013,105966,0.00133061548044
"Medial geniculate",Parahippocamp*,2,1247,2657,3904,0.000512295081967
("Nucleus gracilis" OR "gracile nucleus"),Striatum,7,367,58933,59300,0.000118043844857
"Medial geniculate",(Superior AND collicul*),228,1021,9856,10877,0.020961662223
Infralimbic,("Medial dorsal" AND nucl*),3,493,110,603,0.00497512437811
"Medial geniculate",Prefrontal,13,1236,24088,25324,0.000513347022587
"Middle frontal",Suprachiasmatic,0,1028,6026,7054,0.0
Pons,"Visual extrastriate",11,25573,1523,27096,0.000405963979923
Insula*,Infralimbic,109,17064,387,17451,0.00624606039768
Operculum,periaqueductal,6,920,4570,5490,0.00109289617486
"Postcentral gyrus",(Superior AND collicul*),1,530,10083,10613,9.42240648262e-05
"Medial frontal","Primary motor",17,1578,3188,4766,0.0035669324381
"Nucleus accumbens",Putamen,1837,10708,8912,19620,0.093628950051
Pons,"Posterior cingulate",33,25551,1869,27420,0.00120350109409
Operculum,"Supplementary motor",59,867,2302,3169,0.0186178605238
"Posterior cingulate","Posterior parietal",72,1830,2082,3912,0.0184049079755
"Middle temporal","Thalamic reticular",1,1636,599,2235,0.000447427293065
"Middle frontal",(Septal AND (nuclei OR nucleus)),0,1028,4660,5688,0.0
"Superior temporal","Ventral tegmentum",0,4107,285,4392,0.0
(Raphe AND (nuclei OR nucleus)),"Ventral tegmentum",34,8287,251,8538,0.00398219723589
("Red nucleus"),(Superior AND collicul*),172,2204,9912,12116,0.0141961043249
Infralimbic,Precuneus,0,496,1220,1716,0.0
"Amygdala",Parahippocamp*,492,22865,2167,25032,0.0196548418025
Ambiguus,(Raphe AND (nuclei OR nucleus)),102,1114,8219,9333,0.0109289617486
"Angular gyrus","Supplementary motor",19,483,2342,2825,0.00672566371681
"Calcarine fissure",Claustrum,1,102,82740,82842,1.20711716279e-05
"Anterior cingulate",periaqueductal,120,5682,4456,10138,0.0118366541724
("Centromedian" AND (nuclei OR nucleus)),("Ventral posterolateral" AND (nuclei OR nucleus)),4,212,144,356,0.0112359550562
"Calcarine fissure",Infralimbic,0,103,496,599,0.0
"Lateral geniculate",Temporoparietal,1,5179,1459,6638,0.000150647785478
Fusiform,Pineal,3,5452,14400,19852,0.000151118275237
"Diagonal band of Broca",("Ventral anterior" AND (nuclei OR nucleus)),1,894,236,1130,0.000884955752212
("Gustatory cortex" OR "gustatory area"),"Lateral geniculate",0,153,5180,5333,0.0
"Basal forbrain",Temporoparietal,0,1,1460,1461,0.0
("Gustatory cortex" OR "gustatory area"),Hypothalam*,20,133,107529,107662,0.000185766565733
"Broca's area",Pulvinar,0,694,1133,1827,0.0
("Heschl's gyrus" OR "Transverse temporal"),"Lateral geniculate",1,1147,5179,6326,0.000158077774265
("Gustatory cortex" OR "gustatory area"),Premotor,3,150,4726,4876,0.000615258408532
Hippocamp*,Hypothalam*,8946,95148,98603,193751,0.0461726649153
Hippocamp*,"Inferior frontal",199,103895,2613,106508,0.00186840425132
Cingulum,"Medial geniculate",1,684,1248,1932,0.000517598343685
("Gustatory cortex" OR "gustatory area"),Subthalam*,0,153,4129,4282,0.0
Claustrum,"Olfactory bulb",1186,81555,10025,91580,0.0129504258572
Hypothalam*,"Inferior parietal lobule",7,107542,789,108331,6.46167763613e-05
Hippocamp*,Perirhinal,719,103375,481,103856,0.00692304729626
Insula*,Temporoparietal,62,17111,1398,18509,0.00334972175698
Insula*,"Visual cortex",152,17021,22728,39749,0.00382399557222
Insula*,"Zona incerta",27,17146,947,18093,0.00149228983585
"Inferior temporal","Substantia nigra",14,1697,19373,21070,0.000664451827243
(Inferior AND collicul*),("Superior olive" OR "superior olivary"),425,3858,832,4690,0.090618336887
periaqueductal,"Posterior parietal",9,4567,2145,6712,0.00134088200238
periaqueductal,(Septal AND (nuclei OR nucleus)),154,4422,4506,8928,0.0172491039427
Perirhinal,"Postcentral gyrus",1,1199,530,1729,0.000578368999422
Perirhinal,"Primary auditory",12,1188,1857,3045,0.00394088669951
Insula*,Prefrontal,1391,15782,22710,38492,0.0361373791957
("Locus coeruleus" OR "locus ceruleus"),"Superior frontal",6,7633,1085,8718,0.000688231245699
Orbitofrontal,Subiculum,354,2642,97887,100529,0.00352137194242
Pons,Premotor,156,25428,4573,30001,0.00519982667244
("Posterior nucleus" AND hypothalamus),"Primary auditory",0,67,1869,1936,0.0
"Middle temporal","Stria terminalis",2,1635,2728,4363,0.00045840018336
(Septal AND (nuclei OR nucleus)),"Substantia nigra",288,4372,19099,23471,0.0122704614205
Pineal,("Ventral anterior" AND (nuclei OR nucleus)),0,14403,237,14640,0.0
"Piriform cortex",("Red nucleus"),22,1721,2354,4075,0.00539877300613
"Posterior parietal",(Superior AND collicul*),55,2099,10029,12128,0.00453496042216
Putamen,(Superior AND collicul*),214,10535,9870,20405,0.010487625582
Subgranular,("Ventral anterior" AND (nuclei OR nucleus)),0,632,237,869,0.0
"Anterior cingulate","Basal forbrain",0,5802,1,5803,0.0
"Anterior cingulate","Zona incerta",12,5790,962,6752,0.00177725118483
"Lateral geniculate","Ventromedial prefrontal",0,5180,3,5183,0.0
(Dorsomedial AND hypothal*),"Primary sensory",0,2139,3010,5149,0.0
"Dorsolateral prefrontal","Primary motor",73,2931,3132,6063,0.0120402441036
"Dorsolateral prefrontal",(Intralaminar AND (nuclei OR nucleus)),4,3000,1096,4096,0.0009765625
"Dorsolateral prefrontal",(Medulla OR "medulla oblongata"),2,3002,50820,53822,3.71595258445e-05
"Broca's area",("Heschl's gyrus" OR "Transverse temporal"),10,684,1138,1822,0.00548847420417
"Amygdala",Cingulum,42,23315,643,23958,0.00175306786877
"Basal forbrain",Pulvinar,0,1,1133,1134,0.0
"Calcarine fissure",periaqueductal,0,103,4576,4679,0.0
Entorhinal,"Primary motor",22,5525,3183,8708,0.00252641249426
("Gustatory cortex" OR "gustatory area"),("Medial dorsal" AND nucl*),0,153,113,266,0.0
("Heschl's gyrus" OR "Transverse temporal"),("Ventral posterior" AND (nuclei OR nucleus)),0,1148,356,1504,0.0
(Cochlear AND (nuclei OR nucleus)),"Dorsolateral prefrontal",0,5307,3004,8311,0.0
("Heschl's gyrus" OR "Transverse temporal"),Pons,11,1137,25573,26710,0.000411830774991
(Cochlear AND (nuclei OR nucleus)),"Primary sensory",15,5292,2995,8287,0.00181006395559
"Indusium griseum",Orbitofrontal,0,77,2996,3073,0.0
(Cochlear AND (nuclei OR nucleus)),"Posterior parietal",0,5307,2154,7461,0.0
"Inferior parietal lobule",Pineal,0,796,14403,15199,0.0
"Interstitial nucleus","Piriform cortex",3,511,1740,2251,0.001332741004
"Interstitial nucleus","Primary auditory",1,513,1868,2381,0.000419991600168
"Medial frontal",("Medial dorsal" AND nucl*),0,1595,113,1708,0.0
("Medial dorsal" AND nucl*),periaqueductal,4,109,4572,4681,0.000854518265328
"Inferior frontal",("Nucleus cuneatus" OR "cuneate nucleus"),0,2812,692,3504,0.0
("Nucleus gracilis" OR "gracile nucleus"),Prefrontal,2,372,24099,24471,8.17293939765e-05
("Medial dorsal" AND nucl*),(Raphe AND (nuclei OR nucleus)),5,108,8316,8424,0.000593542260209
("Nucleus gracilis" OR "gracile nucleus"),(Septal AND (nuclei OR nucleus)),4,370,4656,5026,0.000795861520096
"Inferior frontal",Pons,19,2793,25565,28358,0.000670004936878
("Nucleus cuneatus" OR "cuneate nucleus"),(Raphe AND (nuclei OR nucleus)),47,645,8274,8919,0.0052696490638
Parahippocamp*,Subiculum,1441,1218,96800,98018,0.0147013813789
