serotonin,5-Hydroxytryptamine
globose nucleus,Nucleus globosus
globose nucleus,Nucleus globosus cerebelli
gracile nucleus of the medulla,Nucleus gracilis
habenula,Nucleus habenulae
habenula,Nucleus habenularis
dorsomedial nucleus of the hypothalamus,Nucleus hypothalamicus dorsomedialis
posterior nucleus of the hypothalamus,Nucleus hypothalamicus posterior
nucleus ambiguus,Nucleus innominatus
emboliform nucleus,Nucleus interpositus anterior cerebelli
globose nucleus,Nucleus interpositus posterior cerebelli
interstitial nucleus of Cajal,Nucleus interstitialis Cajal
dentate nucleus,Nucleus lateralis cerebelli
ventral anterior nucleus,Nucleus lateropolaris
medial dorsal nucleus,Nucleus medialis dorsalis
medial dorsal nucleus,Nucleus medialis dorsalis thalami
medial dorsal nucleus,Nucleus mediodorsalis thalami
fastigial nucleus,Nucleus motorius tecti cerebelli
abducens nucleus,Nucleus nervi abducentis
abducens nucleus,Nucleus nervi abducentis
facial nucleus,Nucleus nervi facialis
oculomotor nuclear complex,Nucleus nervi oculomotorii
oculomotor nuclear complex,Nucleus oculomotorius
abducens nucleus,nucleus of abducens nerve
substantia nigra,nucleus of basis pedunculi
locus ceruleus,nucleus of locus caeruleus
subthalamic nucleus,nucleus of Luys
oculomotor nuclear complex,nucleus of oculomotor nerve
solitary nucleus,nucleus of solitary tract
basal forebrain nucleus,nucleus of substantia innominata
raphe nuclei,Nucleus of the raphe
solitary nucleus,nucleus of the solitary tract
solitary nucleus,nucleus of tractus solitarius
anterior olfactory nucleus,Nucleus olfactorius anterior
superior olive,Nucleus olivaris metencephali
superior olive,Nucleus olivaris rostralis
superior olive,Nucleus olivaris superior
superior olive,Nucleus olivaris superioris
globus pallidus,Nucleus pallidus
locus ceruleus,Nucleus pigmentosus pontis
substantia nigra,Nucleus pigmentosus subthalamo-peduncularis
pontine nuclei,Nucleus pontis
pulvinar,Nucleus pulvinaris
pulvinar,Nucleus pulvinaris thalami
putamen,Nucleus putamen
raphe nuclei,Nucleus raphe
cuneate nucleus of the medulla,Nucleus restiformis
reticular nucleus of the thalamus,Nucleus reticularis
reticular nucleus of the thalamus,Nucleus reticularis thalami
red nucleus,Nucleus rotundus subthalamo-peduncularis
red nucleus,Nucleus ruber
red nucleus,Nucleus ruber tegmenti
inferior salivatory nucleus,Nucleus salivarius inferior
superior salivatory nucleus,Nucleus salivarius superior
inferior salivatory nucleus,Nucleus salivatorius caudalis
superior salivatory nucleus,Nucleus salivatorius cranialis
inferior salivatory nucleus,Nucleus salivatorius inferior
superior salivatory nucleus,Nucleus salivatorius rostralis
superior salivatory nucleus,Nucleus salivatorius superior
ventral posteromedial nucleus,Nucleus semilunaris thalami
solitary nucleus,Nucleus solitarius
subthalamic nucleus,Nucleus subthalamicus
subthalamic nucleus,Nucleus subthalamicus
suprachiasmatic nucleus,Nucleus suprachiasmaticus hypothalami
medial dorsal nucleus,Nucleus thalamicus mediodorsalis
reticular nucleus of the thalamus,Nucleus thalamicus reticularis
solitary nucleus,Nucleus tracti solitarii
mesencephalic nucleus of the trigeminal nerve,Nucleus tractus mesencephalici nervi trigemini
mesencephalic nucleus of the trigeminal nerve,Nucleus tractus mesencephalici nervi trigemini
mesencephalic nucleus of the trigeminal nerve,Nucleus tractus mesencephalicus nervi trigemini
solitary nucleus,Nucleus tractus solitarii
dorsal motor nucleus of the vagus nerve,Nucleus vagalis dorsalis
ventral anterior nucleus,Nucleus ventralis anterior
ventral anterior nucleus,Nucleus ventralis anterior thalami
ventral posterior nucleus,Nucleus ventralis posterior
ventral posterolateral nucleus,Nucleus ventralis posterior lateralis thalami
ventral posteromedial nucleus,Nucleus ventralis posterior medialis thalami
ventral posterolateral nucleus,Nucleus ventralis posterolateralis
ventral posterolateral nucleus,Nucleus ventralis posterolateralis thalami
ventral posteromedial nucleus,Nucleus ventralis posteromedialis
ventral posteromedial nucleus,Nucleus ventralis posteromedialis thalami
ventral anterior nucleus,Nucleus ventralis thalami anterior
ventral posterolateral nucleus,Nucleus ventralis thalami posterior lateralis
ventral posteromedial nucleus,Nucleus ventrocaudalis anterior internus
object categorization,object categorization
object identification,object identification
object orientation,object orientation
object perception,object perception
object recognition,object recognition
obsessive compulsive disorder,obsessive compulsive
posterior forceps of the corpus callosum,occipital forceps
fusiform gyrus,occipitotemporal gyri
fusiform gyrus,occipitotemporal gyrus
obsessive compulsive disorder,OCD
oculomotor nuclear complex,oculomotor nuclear complex
oculomotor nuclear complex,oculomotor nuclei
oculomotor nuclear complex,oculomotor nucleus
oddball,oddball
estradiol,oestradiol
estrogen,oestrogen
estrogen,oestrogens
olfactory bulb,olfactory bulb
diagonal band,olfactory fasciculus
diagonal band,olfactory radiations of Zuckerkandl
superior olive,Oliva superior
inferior olive,olivary eminence
operculum,opercular portion of inferior frontal gyrus
operculum,operculum
temporal operculum,Operculum temporale
opiate,opiates
opioid,opioids
superior colliculus,optic tectum
orbital gyri,orbital area
orbital gyri,orbital cortex
orbital gyri,orbital cortices
orbital gyri,orbital gyri
orbital gyri,orbitofrontal cortex
orbital gyri,orbitofrontal cortices
orbital gyri,orbitofrontal gyri
orbital gyri,orbitofrontal gyrus
orbital gyri,orbitofrontal region
oxycodone,oxycodone
oxytocin,oxytocin
pain,pain
globus pallidus,paleostriatum
globus pallidus,pallidum
panic disorder,panic disorder
parahippocampal gyrus,parahippocampal gyri
parahippocampal gyrus,parahippocampal gyrus
parathyroid hormone,parathormone
parathyroid hormone,parathyrin
Parkinson's disease,Parkinson's
operculum,Pars opercularis gyri frontalis inferioris
operculum,Pars posterior of inferior frontal gyrus
passive attention,passive attention
passive listening,passive listening
passive viewing,passive viewing
Pavlovian conditioning,Pavlovian conditioning
cerebral peduncle,pedunculi cerebri
inferior cerebellar peduncle,pedunculus cerebellaris caudalis
superior cerebellar peduncle,pedunculus cerebellaris cranialis
inferior cerebellar peduncle,pedunculus cerebellaris inferior
middle cerebellar peduncle,pedunculus cerebellaris medialis
middle cerebellar peduncle,pedunculus cerebellaris medius
middle cerebellar peduncle,pedunculus cerebellaris pontinus
superior cerebellar peduncle,pedunculus cerebellaris rostralis
superior cerebellar peduncle,pedunculus cerebellaris superior
cerebral peduncle,pedunculus cerebralis
cerebral peduncle,pedunculus cerebri
perceptual binding,perceptual binding
perceptual categorization,perceptual categorization
perceptual learning,perceptual learning
performance monitoring,performance monitoring
periaqueductal,periaqueductal gray
periaqueductal,periaqueductal grey
perirhinal area,perirhinal area
perirhinal area,perirhinal cortex
perirhinal area,perirhinal cortices
periventricular nucleus,periventricular nuclei
positron emission tomography,PET
peyote,peyotl
phonological awareness,phonological awareness
phonological buffer,phonological buffer
phonological discrimination,phonological discrimination
phonological encoding,phonological encoding
phonological loop,phonological loop
phonological retrieval,phonological retrieval
phonological working memory,phonological working memory
picture naming,picture naming
pineal body,pineal body
pineal body,pineal gland
planum temporale,planum temporale
plasticity,plasticity
postcentral gyrus,PoG
temporal pole,Polus temporalis
pons,pons cerebri
pons,Pons Varolii
pontine nuclei,pontine nuclei
Posner cueing,Posner cueing
Posner cueing task,Posner cueing
Posner cueing task,Posner task
post-traumatic stress disorder,post traumatic stress
post-traumatic stress disorder,post-traumatic stress
postcentral gyrus,postcentral gyri
postcentral gyrus,postcentral gyrus
primary somesthetic area,postcentral tactile area
postcentral gyrus,posterior central gyrus
posterior cingulate gyrus,posterior cingulate
posterior cingulate gyrus,posterior cingulate gyri
posterior cingulate gyrus,posterior cingulate gyrus
inferior colliculus,posterior colliculus
inferior colliculus,posterior corpus quadrigeminum
posterior forceps of the corpus callosum,posterior forceps
posterior nucleus of the hypothalamus,posterior hypothalamic area
posterior nucleus of the hypothalamus,posterior hypothalamic nucleus
globose nucleus,posterior interposed nucleus
globose nucleus,posterior interpositus nucleus
posterior nucleus of the hypothalamus,posterior nuclei
posterior nucleus of the hypothalamus,posterior nucleus
posterior nucleus of the hypothalamus,posterior nucleus of hypothalamus
posterior nucleus of the hypothalamus,posterior nucleus of the hypothalamus
posterior parahippocampal gyrus,posterior parahippocampal gyri
posterior parahippocampal gyrus,posterior parahippocampal gyrus
operculum,posterior part of inferior frontal gyrus
neurohypophysis,posterior pituitary
posterior thalamic radiations,posterior thalamic radiation
ventral posterolateral nucleus,posterolateral ventral nucleus of thalamus
ventral posteromedial nucleus,posteromedial ventral nucleus of thalamus
postcentral gyrus,postrolandic gyri
postcentral gyrus,postrolandic gyrus
precuneus,Praecuneus
primary motor cortex,precentral motor area
primary motor cortex,precentral motor cortex
preconscious perception,preconscious perception
precuneus,precuneate lobule
prefrontal cortex,prefrontal cortex
prefrontal cortex,prefrontal cortices
angular gyrus,prelunate gyrus
premotor cortex,premotor area
premotor cortex,premotor cortex
premotor cortex,premotor cortices
angular gyrus,preoccipital gyrus
hypothalamus,preoptico-hypothalamic area
hypothalamus,preoptico-hypothalamic region
primary auditory area,primary auditory area
primary auditory area,primary auditory cortex
primary auditory area,primary auditory cortices
primary motor cortex,primary motor area
primary motor cortex,primary motor cortex
primary motor cortex,primary motor cortices
primary somesthetic area,primary somatic sensory area
primary somesthetic area,primary somatosensory cortex
primary somesthetic area,primary somatosensory cortices
primary somesthetic area,primary somesthetic area
primary somesthetic area,primary somesthetic cortex
primary visual cortex,primary visual cortices
procedural knowledge,procedural knowledge
procedural learning,procedural learning
procedural memory,procedural memories
procedural rule,procedural rules
processing capacity,processing capacity
progesterone,progesterone
prolactin,prolactin
premotor cortex,promotor cortex
proprioception,proprioception
prosopagnosia,prosopagnosic
prospective memory,prospective memories
thyrotropin-releasing hormone,protirelin
psilocybin,psilocin
psilocybin,psilocine
psilocybin,psilocybine
post-traumatic stress disorder,PTSD
pulvinar,pulvinar nuclei
pulvinar,pulvinar nucleus
pulvinar,Pulvinar thalami
punishment,punishment
precuneus,quadrate lobule
anterior thalamic radiations,radiationes thalamicae anteriores
posterior thalamic radiations,radiationes thalamicae posteriores
raphe nuclei,raphe nuclei
recognition memory,recognition memories
reconsolidation,reconsolidation
straight gyrus,rectal gyri
straight gyrus,rectal gyrus
straight gyrus,rectus gyrus
red nucleus,red nuclei
red nucleus,red nucleus
anterior olfactory nucleus,Regio retrobulbaris
inferior frontal gyrus,Regio subfrontalis
relational learning,relational learning
relaxin,relaxin
repressed memory,repressed memories
inferior cerebellar peduncle,restiform body
resting state network,resting state
resting state network,resting state networks
reticular nucleus of the thalamus,reticular nuclear group
reticular nucleus of the thalamus,reticular nucleus of the thalamus
reticular nucleus of the thalamus,reticular thalamic nuclei
reticular nucleus of the thalamus,reticular thalamic nucleus
anterior olfactory nucleus,retrobulbar region
reversal learning,reversal learning
reward,reward
rhyme,rhyming
rhythm,rhythm
risk aversion,risk aversive
risk seeking,risk seeking
fastigial nucleus,roof nucleus
genu of the corpus callosum,rostrum of corpus callosum
rule learning,rule learning
saccade,saccades
saccade,saccadic
saccade,saccading
sadness,sadness
salience,salience
salvia,salvia
schizophrenia,schizophrenic
second auditory area,second auditory area
second auditory area,second auditory cortex
second auditory area,second auditory cortices
secondary somesthetic area,second somatic sensory area
entorhinal area,secondary olfactory cortex
entorhinal area,secondary olfactory cortical area
secondary somesthetic area,secondary sensory cortex
secondary somesthetic area,secondary sensory cortices
secondary somesthetic area,secondary somesthetic area
seizure,seizures
selective attention,selective attention
selective serotonin reuptake inhibitor,selective serotonin reuptake inhibitors
self monitoring,self monitoring
self-referential,self-referential
self-relevance,self-relevant
semantic association,semantic association
semantic knowledge,semantic knowledge
semantic memory,semantic memories
semantic processing,semantic processes
semantic working memory,semantic working memory
stria terminalis,semicircular stria
stria terminalis,semicircular stria
ventral posteromedial nucleus,semilunar nucleus
sentence completion,sentence completion
sentence comprehension,sentence comprehension
sentence production,sentence production
septum,septum
septum,Septum telencephali
sequence learning,sequence learning
serial learning,serial learning
selective serotonin reuptake inhibitor,serotonin-specific reuptake inhibitor
selective serotonin reuptake inhibitor,serotonin-specific reuptake inhibitors
set shifting,set shifting
short term memory,short term memories
vision,sight
simple reaction time,simple reaction time
positron emission tomography,single photon emission computed tomography
single-unit recording,single-unit
skill acquisition,skill acquisition
skill learning,skill learning
sleep,sleep
olfaction,smell
olfaction,smelling
social cognition,social cognition
social intelligence,social intelligence
social phobia,social phobic
gamma-hydroxybutyric acid,sodium oxybate
solitary nucleus,solitary nuclear complex
solitary nucleus,solitary nuclei
primary somesthetic area,somatic afferent area
somatosensory perception,somatosensory perception
primary somesthetic area,somatosensory strip
human growth hormone,somatotropin
somatostatin,somatotropin release-inhibiting factor
source memory,source memories
spatial attention,spatial attention
spatial cognition,spatial cognition
spatial memory,spatial memories
spatial working memory,spatial working memory
positron emission tomography,SPECT
speech perception,speech perception
speech processing,speech processing
speech production,speech production
splenium of the corpus callosum,splenium
splenium of the corpus callosum,splenium corporis callosi
splenium of the corpus callosum,splenium corpus callosi
splenium of the corpus callosum,splenium of corpus callosum
stop signal,stop signal
subcallosal fasciculus,stratum subcallosum
stress,stress
stress,stress
diagonal band,Stria diagonalis
stria terminalis,Stria semicircularis
stria terminalis,stria semicircularis
primary visual cortex,striate cortex
stroke,strokes
Stroop,Stroop
subcallosal fasciculus,subcallosal bundle
basal ganglia,subcortical gray
subiculum,subiculum
subiculum,subiculum hippocampi
subliminal perception,subliminal perception
locus ceruleus,Substantia ferruginea
substantia nigra,substantia nigra
subthalamic nucleus,subthalamic nuclei
subvocal speech,subvocal speech
subvocalization,subvocalization
calcarine sulcus,Sulcus calcarinus
calcarine sulcus,Sulcus calcarinus
superior colliculus,superior colliculi
superior colliculus,superior colliculus
superior frontal gyrus,superior frontal convolution
superior frontal gyrus,superior frontal gyri
superior frontal gyrus,superior frontal gyrus
subcallosal fasciculus,superior fronto-occipital bundle
subcallosal fasciculus,superior fronto-occipital fasciculus
subcallosal fasciculus,superior frontooccipital bundle
subcallosal fasciculus,superior frontooccipital fasciculus
subcallosal fasciculus,superior occipito-frontal fascicle
subcallosal fasciculus,superior occipitofrontal fascicle
subcallosal fasciculus,superior occipitofrontal fasciculus
superior olive,superior olivary nuclei
superior olive,superior olivary nucleus
superior olive,superior olives
superior parietal lobule,superior parietal gyri
superior parietal lobule,superior parietal gyrus
superior parietal lobule,superior parietal lobule
superior parietal lobule,superior portion of parietal gyrus
superior salivatory nucleus,superior salivatory nuclei
superior temporal gyrus,superior temporal gyri
supplementary motor cortex,supplementary motor area
supplementary motor cortex,supplementary motor areas
supplementary motor cortex,supplementary motor cortices
suprachiasmatic nucleus,suprachiasmatic nuclei
temporal operculum,supratemporal plane
surprise,surprise
sustained attention,sustained attention
synesthesia,synesthesia
syntactic processing,syntactic processes
tapetum,tapetum
target detection,target detection
target processing,target processing
task switching,task switching
gustation,taste
Tay-Sachs disease,Tay-Sachs
traumatic brain injury,TBI
transcranial magnetic stimulation,TDCS
basal ganglia,telencephalic nuclei
temporal discounting,temporal discounting
temporal operculum,temporal operculum
temporoparietal junction,temporoparietal junction
testosterone,testosterone
thalamus,thalamencephalon
thalamus,thalami
ventral posteromedial nucleus,thalamic gustatory nucleus
reticular nucleus of the thalamus,thalamic reticular nuclei
reticular nucleus of the thalamus,thalamic reticular nucleus
reticular nucleus of the thalamus,thalamic reticular nucleus
thalamus,Thalamus dorsalis
thalamus,thalamus opticus
thalamus,thalamuses
theory of mind,theory of mind
thyroid hormone,thyroid hormones
thyrotropin-releasing hormone,thyroliberin
thyroid stimulating hormone,thyrotropin
thyrotropin-releasing hormone,thyrotropin-releasing factor
thyrotropin-releasing hormone,thyrotropin-releasing hormone
thyroxine,thyroxine
timbre,timbre
transcranial magnetic stimulation,TMS
tobacco,tobacco
top down processing,top down processes
somatosensation,touch
Tourette syndrome,Tourette's
diffusion tensor imaging,tractography
medial lemniscus,tractus bulbo-thalamicus
superior cerebellar peduncle,tractus cerebello-rubralis
superior cerebellar peduncle,tractus cerebello-tegmentalis mesencephali
corticospinal tract,tractus cortico-spinalis
corticospinal tract,tractus corticospinalis
trail making,trail making
transcranial magnetic stimulation,transcranial direct current stimulation
transcranial magnetic stimulation,transcranial magnetic
transverse temporal gyrus,transverse temporal gyri
trapezoid body,trapezoid bodies
traumatic memory,traumatic memories
triiodothyronine,triiodothyronine
tuber cinereum,tuber cinereum
uncertainty,uncertainty
uncinate fasciculus of the forebrain,uncinate fasciculus of cerebral hemisphere
cingulate gyrus,upper limbic gyrus
vanity,vain
valence,valence
value,valuation
vegetative,vegetative state
ventral anterior nucleus,ventral anterior nuclei
ventral anterior nucleus,ventral anterior thalamic nuclei
ventral anterior nucleus,ventral anterior thalamic nucleus
ventral posteromedial nucleus,ventral posterior medial nuclei
ventral posteromedial nucleus,ventral posterior medial nucleus
ventral posterior nucleus,ventral posterior nuclei
ventral posterior nucleus,ventral posterior thalamic nuclei
ventral posterior nucleus,ventral posterior thalamic nucleus
ventral posterolateral nucleus,ventral posterolateral nuclei
ventral posterolateral nucleus,ventral posterolateral nucleus
ventral posterolateral nucleus,ventral posterolateral nucleus of thalamus
ventral posterolateral nucleus,ventral posterolateral thalamic nuclei
ventral posterolateral nucleus,ventral posterolateral thalamic nucleus
ventral posteromedial nucleus,ventral posteromedial nuclei
ventral posteromedial nucleus,ventral posteromedial nucleus
ventral posteromedial nucleus,ventral posteromedial nucleus of thalamus
ventral tegmental area,ventral tegmental area of Tsai
ventral tegmental area,ventral tegmental nucleus of Tsai
ventral anterior nucleus,ventroanterior thalamic nuclei
ventral anterior nucleus,ventroanterior thalamic nucleus
ventral posterior nucleus,ventrobasal complex
ventral posterior nucleus,ventrobasal nuclei
ventral posterior nucleus,ventrobasal nucleus
straight gyrus,ventromedial gyrus
verbal memory,verbal memories
vestibular nuclei,vestibular nuclear complex
vestibular nuclei,vestibular nuclei
vestibular nuclei,vestibular nuclei
vestibular nuclei,vestibular nucleus
visual attention,visual attention
visual buffer,visual buffer
visual extrastriate,visual extrastriate cortex
visual extrastriate,visual extrastriate cortices
visual imagery,visual imagery
visual masking,visual masking
visual memory,visual memories
visual perception,visual perception
visual search,visual search
visual working memory,visual working memory
visuospatial cueing,visuospatial cue
visuospatial sketch pad,visuospatial sketch pad
frontal eye field,voluntary eye field
Wernicke-Korsakoff syndrome,Wernicke-Korsakoff
Wernicke's aphasia,Wernicke's aphasic
Wernicke's area,Wernicke's area
Wernicke's area,Wernicke's speech area
William's Syndrome,William's Syndrome
Wisconsin card sorting,Wisconsin card sort
word comprehension,word comprehension
word identification,word identification
word production,word production
word recognition,word recognition
word repetition,word repetition
working memory,working memories
working memory,working memory
working memory retrieval,working memory retrieval
working memory storage,working memory storage
ayahuasca,yage
zona incerta,zona incerta
GABA,_-Aminobutyric acid
gamma-hydroxybutyric acid,_-Hydroxybutyric acid
